terminal,scheduledTime,airlineName,iataCode,flightNumber,iataNumber,scheduledDay
4,18:40:00.000,american airlines,aa,8709,aa8709,2022-07-01
4,18:40:00.000,iberia express,i2,3843,i23843,2022-07-01
4,18:50:00.000,vueling,vy,5173,vy5173,2022-07-01
4,18:50:00.000,csa,ok,4704,ok4704,2022-07-01
4,18:50:00.000,american airlines,aa,8766,aa8766,2022-07-01
4,18:50:00.000,iberia,ib,3149,ib3149,2022-07-01
4,18:50:00.000,american airlines,aa,8773,aa8773,2022-07-01
4,18:50:00.000,sa avianca,av,6126,av6126,2022-07-01
4,18:50:00.000,latam airlines,la,1562,la1562,2022-07-01
4,18:50:00.000,vueling,vy,5446,vy5446,2022-07-01
4,18:50:00.000,iberia express,i2,3879,i23879,2022-07-01
4,18:50:00.000,latam airlines,la,1719,la1719,2022-07-01
4,18:50:00.000,sa avianca,av,6140,av6140,2022-07-01
4,18:50:00.000,vueling,vy,5583,vy5583,2022-07-01
4,18:50:00.000,iberia,ib,8877,ib8877,2022-07-01
4,18:55:00.000,british airways,ba,7257,ba7257,2022-07-01
4,18:55:00.000,latam airlines,la,5406,la5406,2022-07-01
4,18:55:00.000,american airlines,aa,8528,aa8528,2022-07-01
4,18:55:00.000,sa avianca,av,6022,av6022,2022-07-01
4,18:55:00.000,vueling,vy,5015,vy5015,2022-07-01
4,18:55:00.000,iberia,ib,449,ib449,2022-07-01
4,18:55:00.000,vueling,vy,5285,vy5285,2022-07-01
4,18:55:00.000,latam airlines,la,1644,la1644,2022-07-01
4,18:55:00.000,american airlines,aa,8700,aa8700,2022-07-01
4,18:55:00.000,iberia,ib,3059,ib3059,2022-07-01
4,18:55:00.000,vueling,vy,5309,vy5309,2022-07-01
4,18:55:00.000,latam airlines,la,1646,la1646,2022-07-01
4,18:55:00.000,iberia,ib,3095,ib3095,2022-07-01
4,18:55:00.000,vueling,vy,5175,vy5175,2022-07-01
4,18:55:00.000,latam airlines,la,1649,la1649,2022-07-01
4,18:55:00.000,iberia,ib,3151,ib3151,2022-07-01
4,18:55:00.000,american airlines,aa,8759,aa8759,2022-07-01
4,18:55:00.000,iberia,ib,8901,ib8901,2022-07-01
4,18:55:00.000,vueling,vy,5239,vy5239,2022-07-01
4,18:55:00.000,american airlines,aa,8774,aa8774,2022-07-01
4,18:55:00.000,iberia,ib,557,ib557,2022-07-01
4,18:55:00.000,finnair,ay,5637,ay5637,2022-07-01
4,18:55:00.000,latam airlines,la,5475,la5475,2022-07-01
4,18:55:00.000,vueling,vy,5129,vy5129,2022-07-01
4,18:55:00.000,american airlines,aa,8655,aa8655,2022-07-01
4,18:55:00.000,iberia,ib,3315,ib3315,2022-07-01
4,18:55:00.000,vueling,vy,5539,vy5539,2022-07-01
4,18:55:00.000,iberia,ib,8741,ib8741,2022-07-01
4,18:55:00.000,british airways,ba,7213,ba7213,2022-07-01
4,18:55:00.000,vueling,vy,5590,vy5590,2022-07-01
4,18:55:00.000,latam airlines,la,1698,la1698,2022-07-01
4,18:55:00.000,iberia,ib,8907,ib8907,2022-07-01
4,18:55:00.000,american airlines,aa,8504,aa8504,2022-07-01
4,18:55:00.000,british airways,ba,7165,ba7165,2022-07-01
4,18:55:00.000,sa avianca,av,6014,av6014,2022-07-01
4,18:55:00.000,latam airlines,la,1717,la1717,2022-07-01
4,18:55:00.000,vueling,vy,5612,vy5612,2022-07-01
4,18:55:00.000,qatar airways,qr,6577,qr6577,2022-07-01
4,18:55:00.000,iberia,ib,8949,ib8949,2022-07-01
4,19:00:00.000,sa avianca,av,6117,av6117,2022-07-01
4,19:00:00.000,british airways,ba,7221,ba7221,2022-07-01
4,19:00:00.000,latam airlines,la,5471,la5471,2022-07-01
4,19:00:00.000,vueling,vy,5049,vy5049,2022-07-01
4,19:00:00.000,iberia,ib,535,ib535,2022-07-01
4,19:00:00.000,american airlines,aa,8543,aa8543,2022-07-01
4,19:00:00.000,latam airlines,la,1725,la1725,2022-07-01
4,19:00:00.000,sa avianca,av,6003,av6003,2022-07-01
4,19:00:00.000,vueling,vy,5577,vy5577,2022-07-01
4,19:00:00.000,american airlines,aa,8508,aa8508,2022-07-01
4,19:00:00.000,iberia,ib,8863,ib8863,2022-07-01
4,19:00:00.000,sa avianca,av,6026,av6026,2022-07-01
4,19:00:00.000,latam airlines,la,1559,la1559,2022-07-01
4,19:00:00.000,binter canarias,nt,7825,nt7825,2022-07-01
4,19:00:00.000,vueling,vy,5402,vy5402,2022-07-01
4,19:00:00.000,iberia express,i2,3825,i23825,2022-07-01
2,19:00:00.000,aeromexico,am,6911,am6911,2022-07-01
2,19:00:00.000,air europa,ux,1222,ux1222,2022-07-01
1,19:10:00.000,ryanair,fr,5383,fr5383,2022-07-01
4,19:10:00.000,vueling,vy,5065,vy5065,2022-07-01
4,19:10:00.000,american airlines,aa,8590,aa8590,2022-07-01
4,19:10:00.000,latam airlines,la,1531,la1531,2022-07-01
4,19:10:00.000,iberia,ib,3103,ib3103,2022-07-01
4,19:10:00.000,sa avianca,av,6116,av6116,2022-07-01
4,19:10:00.000,latam airlines,la,1566,la1566,2022-07-01
4,19:10:00.000,iberia express,i2,3925,i23925,2022-07-01
No se ha encontrado la terminal de llegada.,19:10:00.000,british airways,ba,3586,ba3586,2022-07-01
2,19:20:00.000,delta air lines,dl,8408,dl8408,2022-07-01
2,19:20:00.000,gol,g3,5212,g35212,2022-07-01
2,19:20:00.000,korean air,ke,6379,ke6379,2022-07-01
2,19:20:00.000,kenya airways,kq,3160,kq3160,2022-07-01
2,19:20:00.000,air europa,ux,2230,ux2230,2022-07-01
2,19:20:00.000,air france,af,1100,af1100,2022-07-01
4s,19:20:00.000,british airways,ba,7067,ba7067,2022-07-01
4s,19:20:00.000,american airlines,aa,8580,aa8580,2022-07-01
4s,19:20:00.000,jal,jl,6989,jl6989,2022-07-01
4s,19:20:00.000,boa,ob,5107,ob5107,2022-07-01
4s,19:20:00.000,latam airlines,la,1542,la1542,2022-07-01
4s,19:20:00.000,vueling,vy,5186,vy5186,2022-07-01
4s,19:20:00.000,iberia,ib,3177,ib3177,2022-07-01
2,19:20:00.000,azul,ad,7284,ad7284,2022-07-01
2,19:20:00.000,azores airlines,s4,8033,s48033,2022-07-01
2,19:20:00.000,tap air portugal,tp,1020,tp1020,2022-07-01
No se ha encontrado la terminal de llegada.,19:20:00.000,latam cargo chile,uc,1504,uc1504,2022-07-01
4,19:25:00.000,latam airlines,la,1554,la1554,2022-07-01
4,19:25:00.000,vueling,vy,5254,vy5254,2022-07-01
4,19:25:00.000,iberia,ib,3443,ib3443,2022-07-01
4,19:25:00.000,luxair,lg,3837,lg3837,2022-07-01
4,19:30:00.000,vueling,vy,5082,vy5082,2022-07-01
4,19:30:00.000,sa avianca,av,6019,av6019,2022-07-01
4,19:30:00.000,latam airlines,la,1585,la1585,2022-07-01
4,19:30:00.000,qatar airways,qr,6562,qr6562,2022-07-01
4,19:30:00.000,boa,ob,5007,ob5007,2022-07-01
4,19:30:00.000,american airlines,aa,8619,aa8619,2022-07-01
4,19:30:00.000,iberia,ib,3031,ib3031,2022-07-01
2,19:30:00.000,latam airlines,la,8795,la8795,2022-07-01
2,19:30:00.000,swiss,lx,2032,lx2032,2022-07-01
4,19:30:00.000,iberia express,i2,3963,i23963,2022-07-01
No se ha encontrado la terminal de llegada.,19:30:00.000,swiftair,wt,154,wt154,2022-07-01
4,19:35:00.000,iberia express,i2,3797,i23797,2022-07-01
1,19:40:00.000,norwegian air shuttle aoc,dy,1718,dy1718,2022-07-01
1,19:40:00.000,ryanair,fr,5445,fr5445,2022-07-01
1,19:40:00.000,wizz air,w6,3171,w63171,2022-07-01
4,19:40:00.000,vueling,vy,5515,vy5515,2022-07-01
4,19:40:00.000,iberia,ib,8701,ib8701,2022-07-01
2,19:45:00.000,wizz air,w6,2371,w62371,2022-07-01
4s,19:45:00.000,royal air maroc,at,9973,at9973,2022-07-01
4s,19:45:00.000,american airlines,aa,8569,aa8569,2022-07-01
4s,19:45:00.000,vueling,vy,5426,vy5426,2022-07-01
4s,19:45:00.000,american airlines,aa,8539,aa8539,2022-07-01
4s,19:45:00.000,iberia,ib,8795,ib8795,2022-07-01
2,19:50:00.000,sa avianca,av,6509,av6509,2022-07-01
2,19:50:00.000,austrian,os,7457,os7457,2022-07-01
2,19:50:00.000,united airlines,ua,9359,ua9359,2022-07-01
2,19:50:00.000,lufthansa,lh,1122,lh1122,2022-07-01
4s,19:55:00.000,american airlines,aa,6808,aa6808,2022-07-01
4s,19:55:00.000,iberia,ib,7466,ib7466,2022-07-01
4s,19:55:00.000,jal,jl,7703,jl7703,2022-07-01
4s,19:55:00.000,latam airlines,la,5484,la5484,2022-07-01
4s,19:55:00.000,british airways,ba,464,ba464,2022-07-01
1,19:55:00.000,ryanair,fr,4065,fr4065,2022-07-01
1,19:55:00.000,ryanair,fr,6409,fr6409,2022-07-01
1,20:00:00.000,ryanair,fr,2951,fr2951,2022-07-01
2,20:00:00.000,transavia,hv,4638,hv4638,2022-07-01
1,20:00:00.000,easyjet,u2,1417,u21417,2022-07-01
4,20:10:00.000,vueling,vy,5095,vy5095,2022-07-01
4,20:10:00.000,american airlines,aa,8520,aa8520,2022-07-01
4,20:10:00.000,qatar airways,qr,6564,qr6564,2022-07-01
4,20:10:00.000,iberia,ib,3035,ib3035,2022-07-01
4,20:10:00.000,iberia,ib,5215,ib5215,2022-07-01
4,20:10:00.000,vueling,vy,3418,vy3418,2022-07-01
1,20:20:00.000,aeromexico,am,6803,am6803,2022-07-01
1,20:20:00.000,air europa,ux,1302,ux1302,2022-07-01
1,20:25:00.000,ryanair,fr,2016,fr2016,2022-07-01
4,20:25:00.000,american airlines,aa,8569,aa8569,2022-07-01
4,20:25:00.000,vueling,vy,5045,vy5045,2022-07-01
4,20:25:00.000,air nostrum,yw,8241,yw8241,2022-07-01
4,20:25:00.000,iberia,ib,384,ib384,2022-07-01
4,20:25:00.000,jal,jl,6853,jl6853,2022-07-01
4,20:25:00.000,latam airlines,la,5324,la5324,2022-07-01
4,20:25:00.000,iberia,ib,1661,ib1661,2022-07-01
4,20:30:00.000,vueling,vy,5622,vy5622,2022-07-01
4,20:30:00.000,finnair,ay,5582,ay5582,2022-07-01
4,20:30:00.000,iberia,ib,8327,ib8327,2022-07-01
4,20:30:00.000,iberia express,i2,3955,i23955,2022-07-01
4,20:30:00.000,vueling,vy,5837,vy5837,2022-07-01
4,20:30:00.000,iberia,ib,8691,ib8691,2022-07-01
No se ha encontrado la terminal de llegada.,20:30:00.000,air algerie,ah,2206,ah2206,2022-07-01
No se ha encontrado la terminal de llegada.,20:30:00.000,swiftair,wt,8735,wt8735,2022-07-01
4s,20:35:00.000,american airlines,aa,8544,aa8544,2022-07-01
4s,20:35:00.000,vueling,vy,5154,vy5154,2022-07-01
4s,20:35:00.000,iberia,ib,3331,ib3331,2022-07-01
4,20:35:00.000,latam airlines,la,5394,la5394,2022-07-01
4,20:35:00.000,vueling,vy,5155,vy5155,2022-07-01
4,20:35:00.000,iberia,ib,3493,ib3493,2022-07-01
2,20:40:00.000,air france,af,4823,af4823,2022-07-01
2,20:40:00.000,aeromexico,am,6970,am6970,2022-07-01
2,20:40:00.000,etihad airways,ey,4338,ey4338,2022-07-01
2,20:40:00.000,air europa,ux,6078,ux6078,2022-07-01
4s,20:40:00.000,british airways,ba,7061,ba7061,2022-07-01
4s,20:40:00.000,american airlines,aa,8581,aa8581,2022-07-01
4s,20:40:00.000,latam airlines,la,1541,la1541,2022-07-01
4s,20:40:00.000,vueling,vy,5227,vy5227,2022-07-01
4s,20:40:00.000,iberia,ib,3171,ib3171,2022-07-01
1,20:45:00.000,wizz air,w6,6645,w66645,2022-07-01
4,20:45:00.000,vueling,vy,5547,vy5547,2022-07-01
4,20:45:00.000,iberia,ib,8751,ib8751,2022-07-01
4,20:55:00.000,latam airlines,la,1703,la1703,2022-07-01
4,20:55:00.000,iberia,ib,8333,ib8333,2022-07-01
2,20:55:00.000,aeromexico,am,6867,am6867,2022-07-01
2,20:55:00.000,etihad airways,ey,7598,ey7598,2022-07-01
2,20:55:00.000,air serbia,ju,7442,ju7442,2022-07-01
2,20:55:00.000,air europa,ux,1672,ux1672,2022-07-01
2,20:55:00.000,aeromexico,am,6913,am6913,2022-07-01
2,20:55:00.000,air europa,ux,1016,ux1016,2022-07-01
1,21:00:00.000,aeromexico,am,6910,am6910,2022-07-01
1,21:00:00.000,alitalia,az,7118,az7118,2022-07-01
1,21:00:00.000,etihad airways,ey,4357,ey4357,2022-07-01
1,21:00:00.000,middle east airlines,me,2048,me2048,2022-07-01
1,21:00:00.000,air europa,ux,1048,ux1048,2022-07-01
4,21:00:00.000,vueling,vy,5533,vy5533,2022-07-01
4,21:00:00.000,iberia,ib,8731,ib8731,2022-07-01
1,21:05:00.000,ryanair,fr,9471,fr9471,2022-07-01
1,21:05:00.000,aeromexico,am,6851,am6851,2022-07-01
1,21:05:00.000,etihad airways,ey,7594,ey7594,2022-07-01
1,21:05:00.000,middle east airlines,me,2042,me2042,2022-07-01
1,21:05:00.000,air europa,ux,1062,ux1062,2022-07-01
4,21:05:00.000,vueling,vy,5561,vy5561,2022-07-01
4,21:05:00.000,iberia,ib,8771,ib8771,2022-07-01
4,21:10:00.000,vueling,vy,5141,vy5141,2022-07-01
4,21:10:00.000,latam airlines,la,5441,la5441,2022-07-01
4,21:10:00.000,sa avianca,av,6081,av6081,2022-07-01
4,21:10:00.000,iberia,ib,3445,ib3445,2022-07-01
2,21:15:00.000,air france,af,4837,af4837,2022-07-01
2,21:15:00.000,aeromexico,am,6823,am6823,2022-07-01
2,21:15:00.000,delta air lines,dl,6773,dl6773,2022-07-01
2,21:15:00.000,etihad airways,ey,7580,ey7580,2022-07-01
2,21:15:00.000,klm,kl,3379,kl3379,2022-07-01
2,21:15:00.000,air europa,ux,9076,ux9076,2022-07-01
1,21:15:00.000,wizz air,w6,3401,w63401,2022-07-01
2,21:20:00.000,aegean airlines,a3,1715,a31715,2022-07-01
2,21:20:00.000,azul,ad,7312,ad7312,2022-07-01
2,21:20:00.000,sa avianca,av,2499,av2499,2022-07-01
2,21:20:00.000,azores airlines,s4,8032,s48032,2022-07-01
2,21:20:00.000,tap air portugal,tp,1014,tp1014,2022-07-01
2,21:20:00.000,aeromexico,am,6859,am6859,2022-07-01
2,21:20:00.000,etihad airways,ey,7592,ey7592,2022-07-01
2,21:20:00.000,air europa,ux,4060,ux4060,2022-07-01
2,21:20:00.000,evelop airlines,e9,1174,e91174,2022-07-01
1,21:30:00.000,ryanair,fr,9601,fr9601,2022-07-01
4s,21:30:00.000,american airlines,aa,8768,aa8768,2022-07-01
4s,21:30:00.000,vueling,vy,5833,vy5833,2022-07-01
4s,21:30:00.000,iberia,ib,3343,ib3343,2022-07-01
1,21:30:00.000,easyjet,u2,6035,u26035,2022-07-01
2,21:30:00.000,aeromexico,am,6856,am6856,2022-07-01
2,21:30:00.000,air europa,ux,1026,ux1026,2022-07-01
1,21:35:00.000,ryanair,fr,2752,fr2752,2022-07-01
4,21:35:00.000,latam airlines,la,1578,la1578,2022-07-01
4,21:35:00.000,vueling,vy,5216,vy5216,2022-07-01
4,21:35:00.000,american airlines,aa,8591,aa8591,2022-07-01
4,21:35:00.000,iberia,ib,3113,ib3113,2022-07-01
1,21:35:00.000,wizz air,w6,3561,w63561,2022-07-01
4s,21:35:00.000,american airlines,aa,8769,aa8769,2022-07-01
4s,21:35:00.000,british airways,ba,7277,ba7277,2022-07-01
4s,21:35:00.000,aer lingus,ei,5791,ei5791,2022-07-01
4s,21:35:00.000,latam airlines,la,1674,la1674,2022-07-01
4s,21:35:00.000,vueling,vy,5384,vy5384,2022-07-01
4s,21:35:00.000,iberia express,i2,3791,i23791,2022-07-01
1,21:40:00.000,ryanair,fr,5998,fr5998,2022-07-01
4,21:40:00.000,vueling,vy,5322,vy5322,2022-07-01
4,21:40:00.000,iberia,ib,8673,ib8673,2022-07-01
2,21:40:00.000,aeromexico,am,6805,am6805,2022-07-01
2,21:40:00.000,etihad airways,ey,4350,ey4350,2022-07-01
2,21:40:00.000,garuda indonesia,ga,9466,ga9466,2022-07-01
2,21:40:00.000,xiamen airlines,mf,9558,mf9558,2022-07-01
2,21:40:00.000,air europa,ux,1094,ux1094,2022-07-01
1,21:40:00.000,aeromexico,am,6897,am6897,2022-07-01
1,21:40:00.000,etihad airways,ey,4349,ey4349,2022-07-01
1,21:40:00.000,air europa,ux,9117,ux9117,2022-07-01
1,21:45:00.000,ryanair,fr,7156,fr7156,2022-07-01
1,21:45:00.000,aeromexico,am,6830,am6830,2022-07-01
1,21:45:00.000,etihad airways,ey,4334,ey4334,2022-07-01
1,21:45:00.000,air europa,ux,9165,ux9165,2022-07-01
1,21:45:00.000,wizz air,w6,3777,w63777,2022-07-01
2,21:45:00.000,aeromexico,am,6816,am6816,2022-07-01
2,21:45:00.000,etihad airways,ey,7586,ey7586,2022-07-01
2,21:45:00.000,air europa,ux,4050,ux4050,2022-07-01
4,21:50:00.000,sa avianca,av,6040,av6040,2022-07-01
4,21:50:00.000,latam airlines,la,1561,la1561,2022-07-01
4,21:50:00.000,binter canarias,nt,7829,nt7829,2022-07-01
4,21:50:00.000,vueling,vy,5406,vy5406,2022-07-01
4,21:50:00.000,iberia express,i2,3829,i23829,2022-07-01
No se ha encontrado la terminal de llegada.,21:51:00.000,bluebird nordic,bo,4537,bo4537,2022-07-01
1,21:55:00.000,ryanair,fr,2514,fr2514,2022-07-01
2,21:55:00.000,aeromexico,am,6869,am6869,2022-07-01
2,21:55:00.000,etihad airways,ey,4341,ey4341,2022-07-01
2,21:55:00.000,klm,kl,3314,kl3314,2022-07-01
2,21:55:00.000,air europa,ux,7319,ux7319,2022-07-01
4,21:55:00.000,latam airlines,la,1705,la1705,2022-07-01
4,21:55:00.000,air baltic,bt,5229,bt5229,2022-07-01
4,21:55:00.000,jal,jl,6950,jl6950,2022-07-01
4,21:55:00.000,vueling,vy,5519,vy5519,2022-07-01
4,21:55:00.000,iberia,ib,8711,ib8711,2022-07-01
2,21:55:00.000,aeromexico,am,6820,am6820,2022-07-01
2,21:55:00.000,etihad airways,ey,4356,ey4356,2022-07-01
2,21:55:00.000,air europa,ux,1506,ux1506,2022-07-01
4,22:00:00.000,vueling,vy,5143,vy5143,2022-07-01
4,22:00:00.000,latam airlines,la,1556,la1556,2022-07-01
4,22:00:00.000,iberia,ib,3471,ib3471,2022-07-01
2,22:00:00.000,aeromexico,am,6809,am6809,2022-07-01
2,22:00:00.000,etihad airways,ey,4346,ey4346,2022-07-01
2,22:00:00.000,korean air,ke,6654,ke6654,2022-07-01
2,22:00:00.000,air europa,ux,7708,ux7708,2022-07-01
4,22:05:00.000,iberia,ib,5423,ib5423,2022-07-01
4,22:05:00.000,vueling,vy,3835,vy3835,2022-07-01
4,22:05:00.000,latam airlines,la,1592,la1592,2022-07-01
4,22:05:00.000,vueling,vy,5553,vy5553,2022-07-01
4,22:05:00.000,iberia,ib,8761,ib8761,2022-07-01
4,22:10:00.000,vueling,vy,5105,vy5105,2022-07-01
4,22:10:00.000,latam airlines,la,1548,la1548,2022-07-01
4,22:10:00.000,qatar airways,qr,6878,qr6878,2022-07-01
4,22:10:00.000,iberia,ib,3237,ib3237,2022-07-01
2,22:10:00.000,sa avianca,av,6505,av6505,2022-07-01
2,22:10:00.000,lot - polish airlines,lo,4869,lo4869,2022-07-01
2,22:10:00.000,austrian,os,7453,os7453,2022-07-01
2,22:10:00.000,oman air,wy,5012,wy5012,2022-07-01
2,22:10:00.000,lufthansa,lh,1806,lh1806,2022-07-01
2,22:10:00.000,aeromexico,am,6974,am6974,2022-07-01
2,22:10:00.000,etihad airways,ey,7582,ey7582,2022-07-01
2,22:10:00.000,air europa,ux,5038,ux5038,2022-07-01
4s,22:10:00.000,british airways,ba,7059,ba7059,2022-07-01
4s,22:10:00.000,latam airlines,la,7139,la7139,2022-07-01
4s,22:10:00.000,jal,jl,6984,jl6984,2022-07-01
4s,22:10:00.000,american airlines,aa,8582,aa8582,2022-07-01
4s,22:10:00.000,vueling,vy,5181,vy5181,2022-07-01
4s,22:10:00.000,iberia,ib,3167,ib3167,2022-07-01
2,22:10:00.000,aeromexico,am,6848,am6848,2022-07-01
2,22:10:00.000,etihad airways,ey,4376,ey4376,2022-07-01
2,22:10:00.000,air europa,ux,1518,ux1518,2022-07-01
2,22:15:00.000,aeromexico,am,6854,am6854,2022-07-01
2,22:15:00.000,air europa,ux,1142,ux1142,2022-07-01
4,22:15:00.000,vueling,vy,5207,vy5207,2022-07-01
4,22:15:00.000,sa avianca,av,6181,av6181,2022-07-01
4,22:15:00.000,latam airlines,la,1639,la1639,2022-07-01
4,22:15:00.000,iberia,ib,509,ib509,2022-07-01
2,22:15:00.000,aeromexico,am,6899,am6899,2022-07-01
2,22:15:00.000,etihad airways,ey,4305,ey4305,2022-07-01
2,22:15:00.000,air europa,ux,7160,ux7160,2022-07-01
No se ha encontrado la terminal de llegada.,22:15:00.000,swiftair,wt,123,wt123,2022-07-01
4,22:20:00.000,american airlines,aa,8502,aa8502,2022-07-01
4,22:20:00.000,latam airlines,la,1687,la1687,2022-07-01
4,22:20:00.000,vueling,vy,5430,vy5430,2022-07-01
4,22:20:00.000,iberia express,i2,3855,i23855,2022-07-01
4,22:30:00.000,vueling,vy,5100,vy5100,2022-07-01
4,22:30:00.000,qatar airways,qr,6566,qr6566,2022-07-01
4,22:30:00.000,iberia,ib,3041,ib3041,2022-07-01
4,22:30:00.000,vueling,vy,5111,vy5111,2022-07-01
4,22:30:00.000,latam airlines,la,1653,la1653,2022-07-01
4,22:30:00.000,american airlines,aa,8678,aa8678,2022-07-01
4,22:30:00.000,iberia,ib,3245,ib3245,2022-07-01
2,22:30:00.000,aeromexico,am,6829,am6829,2022-07-01
2,22:30:00.000,air europa,ux,1160,ux1160,2022-07-01
4,22:35:00.000,iberia,ib,3255,ib3255,2022-07-01
1,22:35:00.000,air france,af,4796,af4796,2022-07-01
1,22:35:00.000,aeromexico,am,6995,am6995,2022-07-01
1,22:35:00.000,etihad airways,ey,4339,ey4339,2022-07-01
1,22:35:00.000,air europa,ux,6096,ux6096,2022-07-01
4,22:35:00.000,american airlines,aa,8675,aa8675,2022-07-01
4,22:35:00.000,vueling,vy,5342,vy5342,2022-07-01
4,22:35:00.000,iberia express,i2,3707,i23707,2022-07-01
4,22:35:00.000,sa avianca,av,6025,av6025,2022-07-01
4,22:35:00.000,latam airlines,la,1564,la1564,2022-07-01
4,22:35:00.000,vueling,vy,5085,vy5085,2022-07-01
4,22:35:00.000,iberia express,i2,3915,i23915,2022-07-01
1,22:40:00.000,ryanair,fr,5485,fr5485,2022-07-01
4s,22:40:00.000,british airways,ba,7051,ba7051,2022-07-01
4s,22:40:00.000,latam airlines,la,7141,la7141,2022-07-01
4s,22:40:00.000,american airlines,aa,8583,aa8583,2022-07-01
4s,22:40:00.000,vueling,vy,5229,vy5229,2022-07-01
4s,22:40:00.000,iberia,ib,3173,ib3173,2022-07-01
4,22:40:00.000,sa avianca,av,6031,av6031,2022-07-01
4,22:40:00.000,hainan airlines,hu,8454,hu8454,2022-07-01
4,22:40:00.000,latam airlines,la,5453,la5453,2022-07-01
4,22:40:00.000,binter canarias,nt,7833,nt7833,2022-07-01
4,22:40:00.000,vueling,vy,5410,vy5410,2022-07-01
4,22:40:00.000,iberia express,i2,3833,i23833,2022-07-01
4,22:40:00.000,iberia express,i2,3811,i23811,2022-07-01
4,22:45:00.000,latam airlines,la,5449,la5449,2022-07-01
4,22:45:00.000,hainan airlines,hu,8464,hu8464,2022-07-01
4,22:45:00.000,vueling,vy,5001,vy5001,2022-07-01
4,22:45:00.000,sa avianca,av,6007,av6007,2022-07-01
4,22:45:00.000,iberia,ib,425,ib425,2022-07-01
4s,22:45:00.000,vueling,vy,5330,vy5330,2022-07-01
4s,22:45:00.000,iberia,ib,3311,ib3311,2022-07-01
4,22:45:00.000,jal,jl,9410,jl9410,2022-07-01
4,22:45:00.000,iberia,ib,8827,ib8827,2022-07-01
1,22:50:00.000,ryanair,fr,7753,fr7753,2022-07-01
4,22:50:00.000,latam airlines,la,5465,la5465,2022-07-01
4,22:50:00.000,vueling,vy,5022,vy5022,2022-07-01
4,22:50:00.000,iberia,ib,481,ib481,2022-07-01
4,22:50:00.000,vueling,vy,5077,vy5077,2022-07-01
4,22:50:00.000,latam airlines,la,1637,la1637,2022-07-01
4,22:50:00.000,iberia,ib,3123,ib3123,2022-07-01
4,22:50:00.000,latam airlines,la,1627,la1627,2022-07-01
4,22:50:00.000,vueling,vy,5146,vy5146,2022-07-01
4,22:50:00.000,iberia,ib,3441,ib3441,2022-07-01
4,22:50:00.000,american airlines,aa,8651,aa8651,2022-07-01
4,22:50:00.000,vueling,vy,5620,vy5620,2022-07-01
4,22:50:00.000,latam airlines,la,1736,la1736,2022-07-01
4,22:50:00.000,iberia,ib,8975,ib8975,2022-07-01
4,22:50:00.000,american airlines,aa,8505,aa8505,2022-07-01
4,22:50:00.000,hainan airlines,hu,8552,hu8552,2022-07-01
4,22:50:00.000,sa avianca,av,6168,av6168,2022-07-01
4,22:50:00.000,latam airlines,la,1723,la1723,2022-07-01
4,22:50:00.000,vueling,vy,5614,vy5614,2022-07-01
4,22:50:00.000,qatar airways,qr,6569,qr6569,2022-07-01
4,22:50:00.000,iberia,ib,8951,ib8951,2022-07-01
No se ha encontrado la terminal de llegada.,22:50:00.000,british airways,ba,9042,ba9042,2022-07-01
4,22:50:00.000,sa avianca,av,6057,av6057,2022-07-01
4,22:50:00.000,latam airlines,la,1571,la1571,2022-07-01
4,22:50:00.000,vueling,vy,5493,vy5493,2022-07-01
4,22:50:00.000,iberia express,i2,3953,i23953,2022-07-01
4,22:50:00.000,vueling,vy,5592,vy5592,2022-07-01
4,22:50:00.000,latam airlines,la,1732,la1732,2022-07-01
4,22:50:00.000,iberia,ib,8909,ib8909,2022-07-01
4,22:50:00.000,american airlines,aa,8558,aa8558,2022-07-01
4,22:50:00.000,vueling,vy,5600,vy5600,2022-07-01
4,22:50:00.000,american airlines,aa,8575,aa8575,2022-07-01
4,22:50:00.000,iberia,ib,8923,ib8923,2022-07-01
No se ha encontrado la terminal de llegada.,22:50:00.000,iberia,ib,9042,ib9042,2022-07-01
4,22:55:00.000,hainan airlines,hu,8458,hu8458,2022-07-01
4,22:55:00.000,latam airlines,la,5472,la5472,2022-07-01
4,22:55:00.000,vueling,vy,5053,vy5053,2022-07-01
4,22:55:00.000,sa avianca,av,6060,av6060,2022-07-01
4,22:55:00.000,iberia,ib,539,ib539,2022-07-01
4s,22:55:00.000,vueling,vy,5311,vy5311,2022-07-01
4s,22:55:00.000,iberia,ib,3097,ib3097,2022-07-01
1,22:55:00.000,easyjet,u2,5155,u25155,2022-07-01
No se ha encontrado la terminal de llegada.,22:55:00.000,swiftair,wt,105,wt105,2022-07-01
1,23:00:00.000,ryanair,fr,3057,fr3057,2022-07-01
4,23:00:00.000,vueling,vy,5277,vy5277,2022-07-01
4,23:00:00.000,iberia,ib,595,ib595,2022-07-01
4,23:00:00.000,vueling,vy,5291,vy5291,2022-07-01
4,23:00:00.000,iberia,ib,3069,ib3069,2022-07-01
4,23:00:00.000,american airlines,aa,8561,aa8561,2022-07-01
4,23:00:00.000,latam airlines,la,1595,la1595,2022-07-01
4,23:00:00.000,vueling,vy,5608,vy5608,2022-07-01
4,23:00:00.000,iberia,ib,8937,ib8937,2022-07-01
4,23:00:00.000,vueling,vy,5327,vy5327,2022-07-01
4,23:00:00.000,iberia express,i2,3641,i23641,2022-07-01
4,23:00:00.000,hainan airlines,hu,8472,hu8472,2022-07-01
